,time,price,change
0,09:25:02,355.8,-1.19
1,09:30:01,353.17,-2.63
2,09:30:05,353.68,0.51
3,09:30:08,353.17,-0.51
4,09:30:11,351.88,-1.29
5,09:30:17,353.59,1.71
6,09:30:20,352.0,-1.59
7,09:30:23,353.59,1.59
8,09:30:26,352.03,-1.56
9,09:30:27,353.59,1.56
10,09:30:32,353.6,0.01
11,09:30:35,353.68,0.08
12,09:30:37,353.68,0.0
13,09:30:41,354.0,0.32
14,09:30:43,354.01,0.01
15,09:30:47,354.5,0.49
16,09:30:50,353.69,-0.81
17,09:30:53,356.17,2.48
18,09:30:56,354.45,-1.72
19,09:30:59,357.0,2.55
20,09:31:01,356.14,-0.86
21,09:31:05,356.13,-0.01
22,09:31:07,356.14,0.01
23,09:31:11,353.99,-2.15
24,09:31:14,353.99,0.0
25,09:31:17,356.0,2.01
26,09:31:22,356.07,0.07
27,09:31:29,356.08,0.01
28,09:31:32,355.0,-1.08
29,09:31:35,356.99,1.99
30,09:31:40,356.07,-0.92
31,09:31:44,357.0,0.93
32,09:31:47,357.0,0.0
33,09:31:49,357.86,0.86
34,09:31:53,357.0,-0.86
35,09:31:56,357.0,0.0
36,09:31:57,357.85,0.85
37,09:32:02,357.86,0.01
38,09:32:04,358.0,0.14
39,09:32:07,359.49,1.49
40,09:32:14,360.0,0.51
41,09:32:17,360.7,0.7
42,09:32:20,362.99,2.29
43,09:32:22,363.0,0.01
44,09:32:26,360.0,-3.0
45,09:32:29,367.7,7.7
46,09:32:31,363.0,-4.7
47,09:32:35,363.0,0.0
48,09:32:37,366.96,3.96
49,09:32:40,367.0,0.04
50,09:32:44,366.99,-0.01
51,09:32:46,364.99,-2.0
52,09:32:48,366.0,1.01
53,09:32:52,366.0,0.0
54,09:32:56,366.5,0.5
55,09:32:57,366.0,-0.5
56,09:33:01,366.0,0.0
57,09:33:05,366.0,0.0
58,09:33:07,366.79,0.79
59,09:33:10,366.9,0.11
60,09:33:14,366.79,-0.11
61,09:33:17,363.01,-3.78
62,09:33:20,363.03,0.02
63,09:33:23,363.0,-0.03
64,09:33:25,363.0,0.0
65,09:33:31,360.01,-2.99
66,09:33:35,362.99,2.98
67,09:33:38,363.0,0.01
68,09:33:44,360.18,-2.82
69,09:33:48,360.08,-0.1
70,09:33:56,362.57,2.49
71,09:33:59,361.0,-1.57
72,09:34:01,362.88,1.88
73,09:34:05,361.0,-1.88
74,09:34:08,361.01,0.01
75,09:34:10,361.0,-0.01
76,09:34:13,362.0,1.0
77,09:34:17,361.0,-1.0
78,09:34:20,361.88,0.88
79,09:34:23,361.0,-0.88
80,09:34:26,361.0,0.0
81,09:34:29,361.88,0.88
82,09:34:32,360.08,-1.8
83,09:34:34,361.02,0.94
84,09:34:37,362.0,0.98
85,09:34:41,362.0,0.0
86,09:34:44,362.0,0.0
87,09:34:47,362.0,0.0
88,09:34:49,361.99,-0.01
89,09:34:52,361.99,0.0
90,09:34:56,361.99,0.0
91,09:34:57,361.99,0.0
92,09:35:02,362.57,0.58
93,09:35:05,361.02,-1.55
94,09:35:07,361.02,0.0
95,09:35:10,361.01,-0.01
96,09:35:14,361.97,0.96
97,09:35:16,361.0,-0.97
98,09:35:20,361.99,0.99
99,09:35:23,361.99,0.0
100,09:35:26,362.0,0.01
101,09:35:29,362.0,0.0
102,09:35:32,361.1,-0.9
103,09:35:35,361.04,-0.06
104,09:35:38,361.02,-0.02
105,09:35:44,362.43,1.41
106,09:35:47,362.22,-0.21
107,09:35:49,362.22,0.0
108,09:35:53,362.49,0.27
109,09:36:02,361.15,-1.34
110,09:36:05,361.15,0.0
111,09:36:20,361.2,0.05
112,09:36:22,361.2,0.0
113,09:36:26,361.98,0.78
114,09:36:29,361.26,-0.72
115,09:36:31,361.26,0.0
116,09:36:35,361.22,-0.04
117,09:36:38,361.2,-0.02
118,09:36:41,361.6,0.4
119,09:36:44,361.62,0.02
120,09:36:46,361.6,-0.02
121,09:36:53,361.6,0.0
122,09:36:55,361.22,-0.38
123,09:37:02,361.62,0.4
124,09:37:05,361.59,-0.03
125,09:37:07,361.22,-0.37
126,09:37:13,361.59,0.37
127,09:37:17,361.59,0.0
128,09:37:26,362.17,0.58
129,09:37:27,361.59,-0.58
130,09:37:32,361.59,0.0
131,09:37:34,362.23,0.64
132,09:37:38,362.18,-0.05
133,09:37:40,362.17,-0.01
134,09:37:43,362.23,0.06
135,09:37:46,362.17,-0.06
136,09:37:50,362.17,0.0
137,09:37:52,362.17,0.0
138,09:38:01,362.3,0.13
139,09:38:05,362.3,0.0
140,09:38:07,362.23,-0.07
141,09:38:17,362.3,0.07
142,09:38:26,362.49,0.19
143,09:38:28,362.5,0.01
144,09:38:31,362.5,0.0
145,09:38:34,362.5,0.0
146,09:38:38,362.58,0.08
147,09:38:47,363.0,0.42
148,09:38:49,363.0,0.0
149,09:38:53,364.0,1.0
150,09:38:55,364.0,0.0
151,09:39:02,363.01,-0.99
152,09:39:05,363.01,0.0
153,09:39:11,363.03,0.02
154,09:39:14,363.96,0.93
155,09:39:20,363.04,-0.92
156,09:39:23,363.77,0.73
157,09:39:27,363.05,-0.72
158,09:39:38,363.03,-0.02
159,09:39:40,363.9,0.87
160,09:39:44,364.0,0.1
161,09:39:47,364.0,0.0
162,09:39:52,364.0,0.0
163,09:39:55,365.0,1.0
164,09:40:07,364.7,-0.3
165,09:40:11,365.0,0.3
166,09:40:13,365.0,0.0
167,09:40:22,363.11,-1.89
168,09:40:26,364.0,0.89
169,09:40:32,363.9,-0.1
170,09:40:41,363.9,0.0
171,09:40:50,364.0,0.1
172,09:40:53,364.66,0.66
173,09:40:56,364.0,-0.66
174,09:40:57,363.9,-0.1
175,09:41:01,363.2,-0.7
176,09:41:20,363.2,0.0
