,time,price,change
0,09:25:01,38.07,1.08
1,09:30:01,38.0,-0.07
2,09:30:08,38.0,0.0
3,09:30:10,38.0,0.0
4,09:30:13,38.0,0.0
5,09:30:14,37.9,-0.1
6,09:30:17,38.0,0.1
7,09:30:19,37.91,-0.09
8,09:30:23,37.8,-0.11
9,09:30:25,37.81,0.01
10,09:30:27,37.8,-0.01
11,09:30:32,37.79,-0.01
12,09:30:34,37.71,-0.08
13,09:30:37,37.63,-0.08
14,09:30:40,37.62,-0.01
15,09:30:43,37.6,-0.02
16,09:30:47,37.52,-0.08
17,09:30:49,37.44,-0.08
18,09:30:51,37.3,-0.14
19,09:30:55,37.33,0.03
20,09:30:58,37.3,-0.03
21,09:31:02,37.52,0.22
22,09:31:08,37.39,-0.13
23,09:31:10,37.6,0.21
24,09:31:11,37.61,0.01
25,09:31:14,37.52,-0.09
26,09:31:16,37.61,0.09
27,09:31:19,37.63,0.02
28,09:31:22,37.61,-0.02
29,09:31:25,37.6,-0.01
30,09:31:28,37.59,-0.01
31,09:31:31,37.6,0.01
32,09:31:34,37.49,-0.11
33,09:31:37,37.4,-0.09
34,09:31:40,37.47,0.07
35,09:31:43,37.37,-0.1
36,09:31:47,37.39,0.02
37,09:31:49,37.4,0.01
38,09:31:53,37.4,0.0
39,09:31:55,37.54,0.14
40,09:31:59,37.55,0.01
41,09:32:01,37.55,0.0
42,09:32:07,37.57,0.02
43,09:32:10,37.57,0.0
44,09:32:11,37.57,0.0
45,09:32:14,37.56,-0.01
46,09:32:16,37.56,0.0
47,09:32:18,37.49,-0.07
48,09:32:22,37.41,-0.08
49,09:32:25,37.33,-0.08
50,09:32:29,37.25,-0.08
51,09:32:31,37.2,-0.05
52,09:32:35,37.17,-0.03
53,09:32:37,37.11,-0.06
54,09:32:40,37.05,-0.06
55,09:32:43,37.11,0.06
56,09:32:46,37.02,-0.09
57,09:32:49,37.01,-0.01
58,09:32:52,36.99,-0.02
59,09:32:55,36.97,-0.02
60,09:32:58,36.89,-0.08
61,09:33:01,36.82,-0.07
62,09:33:08,36.81,-0.01
63,09:33:10,36.82,0.01
64,09:33:13,36.86,0.04
65,09:33:14,36.88,0.02
66,09:33:17,36.97,0.09
67,09:33:19,36.97,0.0
68,09:33:22,37.02,0.05
69,09:33:25,37.03,0.01
70,09:33:28,37.03,0.0
71,09:33:31,37.05,0.02
72,09:33:34,37.02,-0.03
73,09:33:37,37.08,0.06
74,09:33:40,37.04,-0.04
75,09:33:43,37.1,0.06
76,09:33:46,37.1,0.0
77,09:33:50,37.08,-0.02
78,09:33:52,37.08,0.0
79,09:33:56,37.06,-0.02
80,09:33:58,37.03,-0.03
81,09:34:01,37.05,0.02
82,09:34:08,36.93,-0.12
83,09:34:09,36.95,0.02
84,09:34:12,36.93,-0.02
85,09:34:13,36.93,0.0
86,09:34:16,36.97,0.04
87,09:34:19,36.93,-0.04
88,09:34:22,36.93,0.0
89,09:34:26,36.89,-0.04
90,09:34:28,36.91,0.02
91,09:34:32,36.88,-0.03
92,09:34:34,36.84,-0.04
93,09:34:37,36.87,0.03
94,09:34:40,36.9,0.03
95,09:34:43,36.89,-0.01
96,09:34:46,36.86,-0.03
97,09:34:49,36.84,-0.02
98,09:34:53,36.84,0.0
99,09:34:55,36.84,0.0
100,09:34:59,36.82,-0.02
101,09:35:01,36.81,-0.01
102,09:35:07,36.77,-0.04
103,09:35:09,36.76,-0.01
104,09:35:11,36.73,-0.03
105,09:35:12,36.68,-0.05
106,09:35:16,36.66,-0.02
107,09:35:19,36.63,-0.03
108,09:35:22,36.63,0.0
109,09:35:25,36.59,-0.04
110,09:35:28,36.6,0.01
111,09:35:31,36.56,-0.04
112,09:35:34,36.53,-0.03
113,09:35:37,36.56,0.03
114,09:35:41,36.59,0.03
115,09:35:43,36.67,0.08
116,09:35:45,36.63,-0.04
117,09:35:49,36.65,0.02
118,09:35:53,36.71,0.06
119,09:35:55,36.66,-0.05
120,09:35:58,36.72,0.06
121,09:36:01,36.76,0.04
122,09:36:07,36.71,-0.05
123,09:36:10,36.75,0.04
124,09:36:11,36.75,0.0
125,09:36:14,36.8,0.05
126,09:36:16,36.77,-0.03
127,09:36:19,36.73,-0.04
128,09:36:22,36.7,-0.03
129,09:36:25,36.66,-0.04
130,09:36:28,36.56,-0.1
131,09:36:31,36.55,-0.01
132,09:36:35,36.55,0.0
133,09:36:37,36.54,-0.01
134,09:36:41,36.54,0.0
135,09:36:43,36.64,0.1
136,09:36:46,36.7,0.06
137,09:36:49,36.67,-0.03
138,09:36:52,36.7,0.03
139,09:36:56,36.66,-0.04
140,09:36:58,36.71,0.05
141,09:37:02,36.75,0.04
142,09:37:08,36.7,-0.05
143,09:37:09,36.7,0.0
144,09:37:11,36.7,0.0
145,09:37:13,36.71,0.01
146,09:37:16,36.72,0.01
147,09:37:19,36.73,0.01
148,09:37:22,36.8,0.07
149,09:37:25,36.82,0.02
150,09:37:28,36.83,0.01
151,09:37:31,36.84,0.01
152,09:37:34,36.8,-0.04
153,09:37:37,36.79,-0.01
154,09:37:39,36.85,0.06
155,09:37:43,36.81,-0.04
156,09:37:46,36.83,0.02
157,09:37:48,36.85,0.02
158,09:37:53,36.85,0.0
159,09:37:55,36.81,-0.04
160,09:37:59,36.75,-0.06
161,09:38:01,36.78,0.03
162,09:38:07,36.6,-0.18
163,09:38:10,36.56,-0.04
164,09:38:11,36.57,0.01
165,09:38:14,36.65,0.08
166,09:38:16,36.55,-0.1
167,09:38:20,36.57,0.02
168,09:38:22,36.55,-0.02
169,09:38:26,36.55,0.0
170,09:38:28,36.48,-0.07
171,09:38:32,36.45,-0.03
172,09:38:34,36.36,-0.09
173,09:38:38,36.34,-0.02
174,09:38:40,36.3,-0.04
175,09:38:43,36.29,-0.01
176,09:38:46,36.31,0.02
177,09:38:49,36.34,0.03
178,09:38:52,36.35,0.01
179,09:38:55,36.36,0.01
180,09:38:58,36.41,0.05
181,09:39:01,36.41,0.0
182,09:39:07,36.41,0.0
183,09:39:09,36.4,-0.01
184,09:39:11,36.45,0.05
185,09:39:13,36.44,-0.01
186,09:39:16,36.42,-0.02
187,09:39:19,36.44,0.02
188,09:39:22,36.4,-0.04
189,09:39:25,36.4,0.0
190,09:39:28,36.4,0.0
191,09:39:32,36.4,0.0
192,09:39:34,36.41,0.01
193,09:39:36,36.44,0.03
194,09:39:40,36.51,0.07
195,09:39:44,36.5,-0.01
196,09:39:46,36.55,0.05
197,09:39:48,36.55,0.0
198,09:39:52,36.57,0.02
199,09:39:55,36.55,-0.02
200,09:39:58,36.55,0.0
201,09:40:01,36.55,0.0
202,09:40:07,36.51,-0.04
203,09:40:10,36.5,-0.01
204,09:40:11,36.51,0.01
205,09:40:12,36.51,0.0
206,09:40:16,36.49,-0.02
207,09:40:18,36.48,-0.01
208,09:40:22,36.48,0.0
209,09:40:26,36.4,-0.08
210,09:40:28,36.44,0.04
211,09:40:32,36.4,-0.04
212,09:40:34,36.38,-0.02
213,09:40:37,36.35,-0.03
214,09:40:40,36.35,0.0
215,09:40:43,36.31,-0.04
216,09:40:46,36.31,0.0
217,09:40:49,36.31,0.0
218,09:40:53,36.3,-0.01
219,09:40:55,36.27,-0.03
220,09:40:59,36.31,0.04
221,09:41:01,36.33,0.02
222,09:41:07,36.35,0.02
223,09:41:10,36.41,0.06
224,09:41:11,36.49,0.08
225,09:41:13,36.49,0.0
226,09:41:16,36.44,-0.05
227,09:41:20,36.42,-0.02
228,09:41:22,36.46,0.04
229,09:41:26,36.44,-0.02
230,09:41:28,36.45,0.01
231,09:41:32,36.45,0.0
232,09:41:34,36.44,-0.01
233,09:41:38,36.5,0.06
234,09:41:40,36.5,0.0
235,09:41:44,36.51,0.01
236,09:41:46,36.52,0.01
237,09:41:50,36.5,-0.02
238,09:41:52,36.5,0.0
239,09:41:55,36.48,-0.02
240,09:41:58,36.48,0.0
241,09:42:01,36.49,0.01
242,09:42:08,36.53,0.04
243,09:42:09,36.51,-0.02
244,09:42:11,36.52,0.01
245,09:42:13,36.53,0.01
246,09:42:16,36.53,0.0
247,09:42:19,36.54,0.01
248,09:42:22,36.53,-0.01
249,09:42:25,36.5,-0.03
250,09:42:28,36.5,0.0
251,09:42:31,36.48,-0.02
252,09:42:34,36.47,-0.01
253,09:42:37,36.37,-0.1
254,09:42:39,36.32,-0.05
255,09:42:44,36.3,-0.02
256,09:42:46,36.32,0.02
257,09:42:50,36.33,0.01
258,09:42:52,36.3,-0.03
259,09:42:55,36.37,0.07
260,09:42:59,36.37,0.0
261,09:43:01,36.37,0.0
262,09:43:07,36.37,0.0
263,09:43:09,36.34,-0.03
264,09:43:11,36.37,0.03
265,09:43:13,36.37,0.0
266,09:43:16,36.37,0.0
267,09:43:19,36.41,0.04
268,09:43:22,36.44,0.03
269,09:43:25,36.46,0.02
270,09:43:29,36.47,0.01
271,09:43:31,36.46,-0.01
272,09:43:35,36.5,0.04
273,09:43:37,36.47,-0.03
274,09:43:41,36.51,0.04
275,09:43:43,36.51,0.0
276,09:43:47,36.52,0.01
277,09:43:49,36.52,0.0
278,09:43:53,36.6,0.08
279,09:43:55,36.59,-0.01
280,09:43:59,36.56,-0.03
281,09:44:02,36.58,0.02
282,09:44:08,36.56,-0.02
283,09:44:09,36.56,0.0
284,09:44:11,36.58,0.02
285,09:44:12,36.58,0.0
286,09:44:16,36.56,-0.02
287,09:44:20,36.54,-0.02
288,09:44:22,36.53,-0.01
289,09:44:26,36.56,0.03
290,09:44:28,36.5,-0.06
291,09:44:32,36.46,-0.04
292,09:44:34,36.42,-0.04
293,09:44:38,36.45,0.03
294,09:44:40,36.42,-0.03
295,09:44:43,36.44,0.02
296,09:44:46,36.42,-0.02
297,09:44:49,36.43,0.01
298,09:44:52,36.44,0.01
299,09:44:55,36.4,-0.04
300,09:44:59,36.43,0.03
301,09:45:01,36.44,0.01
302,09:45:07,36.42,-0.02
303,09:45:10,36.44,0.02
304,09:45:11,36.42,-0.02
305,09:45:13,36.41,-0.01
306,09:45:16,36.44,0.03
307,09:45:19,36.46,0.02
308,09:45:22,36.46,0.0
309,09:45:25,36.47,0.01
310,09:45:28,36.5,0.03
311,09:45:31,36.48,-0.02
312,09:45:34,36.5,0.02
313,09:45:38,36.5,0.0
314,09:45:40,36.44,-0.06
315,09:45:44,36.48,0.04
316,09:45:46,36.47,-0.01
317,09:45:49,36.48,0.01
318,09:45:52,36.48,0.0
319,09:45:55,36.48,0.0
320,09:45:58,36.47,-0.01
321,09:46:01,36.47,0.0
322,09:46:07,36.51,0.04
323,09:46:09,36.47,-0.04
324,09:46:11,36.48,0.01
325,09:46:14,36.5,0.02
326,09:46:16,36.54,0.04
327,09:46:19,36.52,-0.02
328,09:46:22,36.53,0.01
329,09:46:25,36.5,-0.03
330,09:46:28,36.52,0.02
331,09:46:31,36.53,0.01
332,09:46:35,36.49,-0.04
333,09:46:37,36.48,-0.01
334,09:46:41,36.51,0.03
335,09:46:43,36.45,-0.06
336,09:46:46,36.46,0.01
337,09:46:50,36.38,-0.08
338,09:46:53,36.37,-0.01
339,09:46:55,36.33,-0.04
340,09:46:59,36.34,0.01
341,09:47:02,36.33,-0.01
342,09:47:08,36.36,0.03
343,09:47:09,36.35,-0.01
344,09:47:12,36.35,0.0
345,09:47:13,36.36,0.01
346,09:47:16,36.4,0.04
347,09:47:19,36.41,0.01
348,09:47:22,36.36,-0.05
349,09:47:25,36.4,0.04
350,09:47:29,36.39,-0.01
351,09:47:31,36.39,0.0
352,09:47:35,36.39,0.0
353,09:47:37,36.48,0.09
354,09:47:40,36.43,-0.05
355,09:47:43,36.43,0.0
356,09:47:46,36.41,-0.02
357,09:47:49,36.45,0.04
358,09:47:52,36.41,-0.04
359,09:47:55,36.43,0.02
360,09:47:58,36.45,0.02
361,09:48:01,36.45,0.0
362,09:48:07,36.45,0.0
363,09:48:09,36.45,0.0
364,09:48:11,36.45,0.0
365,09:48:14,36.47,0.02
366,09:48:16,36.46,-0.01
367,09:48:19,36.47,0.01
368,09:48:22,36.46,-0.01
369,09:48:25,36.46,0.0
370,09:48:28,36.45,-0.01
371,09:48:31,36.4,-0.05
372,09:48:34,36.41,0.01
373,09:48:37,36.34,-0.07
374,09:48:41,36.3,-0.04
375,09:48:43,36.27,-0.03
376,09:48:46,36.24,-0.03
377,09:48:49,36.2,-0.04
378,09:48:52,36.16,-0.04
379,09:48:56,36.2,0.04
380,09:48:58,36.16,-0.04
381,09:49:00,36.19,0.03
382,09:49:08,36.23,0.04
383,09:49:09,36.28,0.05
384,09:49:12,36.23,-0.05
385,09:49:13,36.24,0.01
386,09:49:16,36.3,0.06
387,09:49:19,36.3,0.0
388,09:49:23,36.36,0.06
389,09:49:25,36.34,-0.02
390,09:49:27,36.36,0.02
391,09:49:31,36.3,-0.06
392,09:49:34,36.35,0.05
393,09:49:37,36.4,0.05
394,09:49:40,36.37,-0.03
395,09:49:43,36.35,-0.02
396,09:49:46,36.35,0.0
397,09:49:49,36.34,-0.01
398,09:49:52,36.33,-0.01
399,09:49:55,36.35,0.02
400,09:49:58,36.33,-0.02
401,09:50:01,36.32,-0.01
402,09:50:08,36.31,-0.01
403,09:50:10,36.3,-0.01
404,09:50:12,36.28,-0.02
405,09:50:13,36.3,0.02
406,09:50:16,36.28,-0.02
407,09:50:19,36.25,-0.03
408,09:50:22,36.27,0.02
409,09:50:25,36.29,0.02
410,09:50:29,36.26,-0.03
411,09:50:31,36.3,0.04
412,09:50:35,36.32,0.02
413,09:50:37,36.27,-0.05
414,09:50:41,36.3,0.03
415,09:50:43,36.33,0.03
416,09:50:46,36.3,-0.03
417,09:50:49,36.36,0.06
418,09:50:52,36.35,-0.01
419,09:50:54,36.32,-0.03
420,09:50:58,36.32,0.0
421,09:51:02,36.32,0.0
422,09:51:08,36.33,0.01
423,09:51:09,36.32,-0.01
424,09:51:11,36.32,0.0
425,09:51:13,36.31,-0.01
426,09:51:16,36.35,0.04
427,09:51:19,36.34,-0.01
428,09:51:22,36.3,-0.04
429,09:51:25,36.28,-0.02
430,09:51:28,36.28,0.0
431,09:51:31,36.3,0.02
432,09:51:35,36.3,0.0
433,09:51:37,36.34,0.04
434,09:51:40,36.31,-0.03
435,09:51:43,36.33,0.02
436,09:51:46,36.35,0.02
437,09:51:49,36.3,-0.05
438,09:51:52,36.3,0.0
439,09:51:55,36.35,0.05
440,09:51:58,36.33,-0.02
441,09:52:02,36.32,-0.01
442,09:52:08,36.36,0.04
443,09:52:09,36.35,-0.01
444,09:52:11,36.34,-0.01
445,09:52:13,36.34,0.0
446,09:52:16,36.36,0.02
447,09:52:18,36.37,0.01
448,09:52:22,36.34,-0.03
449,09:52:26,36.4,0.06
450,09:52:28,36.4,0.0
451,09:52:32,36.42,0.02
452,09:52:34,36.45,0.03
453,09:52:38,36.41,-0.04
454,09:52:40,36.46,0.05
455,09:52:44,36.42,-0.04
456,09:52:46,36.43,0.01
457,09:52:49,36.4,-0.03
458,09:52:52,36.41,0.01
459,09:52:55,36.38,-0.03
460,09:52:58,36.4,0.02
461,09:53:01,36.33,-0.07
462,09:53:07,36.4,0.07
463,09:53:08,36.4,0.0
464,09:53:10,36.36,-0.04
465,09:53:13,36.39,0.03
466,09:53:17,36.39,0.0
467,09:53:20,36.4,0.01
468,09:53:22,36.36,-0.04
469,09:53:25,36.41,0.05
470,09:53:29,36.42,0.01
471,09:53:31,36.39,-0.03
472,09:53:35,36.4,0.01
473,09:53:37,36.39,-0.01
474,09:53:40,36.4,0.01
475,09:53:44,36.41,0.01
476,09:53:46,36.4,-0.01
477,09:53:48,36.43,0.03
478,09:53:52,36.42,-0.01
479,09:53:56,36.42,0.0
480,09:53:58,36.45,0.03
481,09:54:01,36.45,0.0
482,09:54:08,36.45,0.0
483,09:54:09,36.46,0.01
484,09:54:10,36.45,-0.01
485,09:54:14,36.43,-0.02
486,09:54:16,36.46,0.03
487,09:54:20,36.46,0.0
488,09:54:23,36.47,0.01
489,09:54:25,36.46,-0.01
490,09:54:28,36.43,-0.03
491,09:54:31,36.43,0.0
492,09:54:34,36.44,0.01
493,09:54:37,36.44,0.0
494,09:54:40,36.42,-0.02
495,09:54:43,36.43,0.01
496,09:54:46,36.41,-0.02
497,09:54:49,36.4,-0.01
498,09:54:52,36.44,0.04
499,09:54:55,36.41,-0.03
500,09:54:58,36.42,0.01
501,09:55:01,36.44,0.02
502,09:55:07,36.42,-0.02
503,09:55:08,36.41,-0.01
504,09:55:10,36.4,-0.01
505,09:55:13,36.41,0.01
506,09:55:17,36.41,0.0
507,09:55:20,36.41,0.0
508,09:55:23,36.41,0.0
509,09:55:25,36.36,-0.05
510,09:55:29,36.36,0.0
511,09:55:31,36.37,0.01
512,09:55:35,36.36,-0.01
513,09:55:37,36.35,-0.01
514,09:55:41,36.32,-0.03
515,09:55:44,36.34,0.02
516,09:55:46,36.28,-0.06
517,09:55:50,36.28,0.0
518,09:55:52,36.27,-0.01
519,09:55:56,36.28,0.01
520,09:55:58,36.27,-0.01
521,09:56:01,36.29,0.02
522,09:56:07,36.27,-0.02
523,09:56:09,36.27,0.0
524,09:56:11,36.29,0.02
525,09:56:13,36.3,0.01
526,09:56:16,36.33,0.03
527,09:56:19,36.31,-0.02
528,09:56:22,36.33,0.02
529,09:56:25,36.34,0.01
530,09:56:28,36.36,0.02
531,09:56:31,36.37,0.01
532,09:56:34,36.37,0.0
533,09:56:37,36.4,0.03
534,09:56:40,36.37,-0.03
535,09:56:43,36.34,-0.03
536,09:56:46,36.38,0.04
537,09:56:49,36.37,-0.01
538,09:56:52,36.39,0.02
539,09:56:56,36.38,-0.01
540,09:56:58,36.38,0.0
541,09:57:01,36.38,0.0
542,09:57:07,36.37,-0.01
543,09:57:09,36.38,0.01
544,09:57:11,36.38,0.0
545,09:57:13,36.4,0.02
546,09:57:16,36.38,-0.02
547,09:57:19,36.38,0.0
548,09:57:22,36.37,-0.01
549,09:57:25,36.4,0.03
550,09:57:28,36.38,-0.02
551,09:57:31,36.41,0.03
552,09:57:34,36.41,0.0
553,09:57:38,36.41,0.0
554,09:57:40,36.41,0.0
555,09:57:43,36.42,0.01
556,09:57:46,36.41,-0.01
557,09:57:48,36.39,-0.02
558,09:57:52,36.36,-0.03
559,09:57:55,36.35,-0.01
560,09:57:58,36.29,-0.06
561,09:58:01,36.29,0.0
562,09:58:07,36.27,-0.02
563,09:58:09,36.25,-0.02
564,09:58:11,36.28,0.03
565,09:58:13,36.25,-0.03
566,09:58:16,36.27,0.02
567,09:58:19,36.26,-0.01
568,09:58:22,36.25,-0.01
569,09:58:26,36.26,0.01
570,09:58:28,36.27,0.01
571,09:58:31,36.27,0.0
572,09:58:34,36.27,0.0
573,09:58:37,36.29,0.02
574,09:58:41,36.29,0.0
575,09:58:43,36.25,-0.04
576,09:58:46,36.3,0.05
577,09:58:48,36.29,-0.01
578,09:58:52,36.3,0.01
579,09:58:56,36.31,0.01
580,09:58:58,36.29,-0.02
581,09:59:01,36.27,-0.02
582,09:59:07,36.3,0.03
583,09:59:08,36.28,-0.02
584,09:59:11,36.3,0.02
585,09:59:13,36.29,-0.01
586,09:59:16,36.3,0.01
587,09:59:19,36.29,-0.01
588,09:59:22,36.29,0.0
589,09:59:25,36.31,0.02
590,09:59:28,36.3,-0.01
591,09:59:31,36.28,-0.02
592,09:59:34,36.27,-0.01
593,09:59:37,36.3,0.03
594,09:59:40,36.29,-0.01
595,09:59:43,36.3,0.01
596,09:59:46,36.29,-0.01
597,09:59:49,36.29,0.0
598,09:59:52,36.3,0.01
599,09:59:55,36.3,0.0
600,09:59:58,36.3,0.0
601,10:00:01,36.3,0.0
602,10:00:08,36.29,-0.01
603,10:00:09,36.26,-0.03
604,10:00:11,36.29,0.03
605,10:00:14,36.24,-0.05
606,10:00:16,36.2,-0.04
607,10:00:18,36.18,-0.02
608,10:00:23,36.15,-0.03
609,10:00:25,36.14,-0.01
610,10:00:28,36.13,-0.01
611,10:00:32,36.12,-0.01
612,10:00:34,36.11,-0.01
613,10:00:37,36.12,0.01
614,10:00:40,36.15,0.03
615,10:00:43,36.13,-0.02
616,10:00:46,36.11,-0.02
617,10:00:49,36.12,0.01
618,10:00:52,36.1,-0.02
619,10:00:55,36.1,0.0
620,10:00:58,36.07,-0.03
621,10:01:02,36.06,-0.01
622,10:01:08,36.05,-0.01
623,10:01:09,36.05,0.0
624,10:01:11,36.01,-0.04
625,10:01:13,36.01,0.0
626,10:01:16,36.01,0.0
627,10:01:18,35.98,-0.03
628,10:01:22,35.98,0.0
629,10:01:25,36.0,0.02
630,10:01:29,35.98,-0.02
631,10:01:32,36.01,0.03
632,10:01:34,36.02,0.01
633,10:01:38,36.0,-0.02
634,10:01:40,36.03,0.03
635,10:01:44,36.0,-0.03
636,10:01:46,36.02,0.02
637,10:01:50,36.02,0.0
638,10:01:52,36.02,0.0
639,10:01:56,36.03,0.01
640,10:01:58,36.02,-0.01
641,10:02:01,36.02,0.0
642,10:02:08,36.03,0.01
643,10:02:09,36.02,-0.01
644,10:02:11,36.02,0.0
645,10:02:13,36.02,0.0
646,10:02:16,36.0,-0.02
647,10:02:19,36.02,0.02
648,10:02:22,36.02,0.0
649,10:02:25,36.03,0.01
650,10:02:28,36.0,-0.03
651,10:02:31,36.03,0.03
652,10:02:35,36.02,-0.01
653,10:02:37,36.08,0.06
654,10:02:39,36.04,-0.04
655,10:02:43,36.04,0.0
656,10:02:46,36.04,0.0
657,10:02:49,36.05,0.01
658,10:02:52,36.08,0.03
659,10:02:55,36.02,-0.06
660,10:02:58,36.02,0.0
661,10:03:01,36.01,-0.01
662,10:03:07,36.05,0.04
663,10:03:09,36.03,-0.02
664,10:03:10,36.04,0.01
665,10:03:13,36.03,-0.01
666,10:03:16,36.03,0.0
667,10:03:19,36.04,0.01
668,10:03:22,36.04,0.0
669,10:03:24,36.03,-0.01
670,10:03:28,36.03,0.0
671,10:03:31,36.04,0.01
672,10:03:34,36.04,0.0
673,10:03:38,36.04,0.0
674,10:03:40,36.01,-0.03
675,10:03:43,36.04,0.03
676,10:03:46,36.02,-0.02
677,10:03:49,36.02,0.0
678,10:03:51,36.03,0.01
679,10:03:55,36.02,-0.01
680,10:03:59,36.02,0.0
681,10:04:01,36.02,0.0
682,10:04:07,36.0,-0.02
683,10:04:08,35.99,-0.01
684,10:04:11,36.0,0.01
685,10:04:13,35.98,-0.02
686,10:04:16,35.98,0.0
687,10:04:19,36.0,0.02
688,10:04:23,36.01,0.01
689,10:04:25,36.0,-0.01
690,10:04:27,35.99,-0.01
691,10:04:31,35.99,0.0
692,10:04:33,36.0,0.01
693,10:04:37,35.99,-0.01
694,10:04:40,36.01,0.02
695,10:04:43,35.99,-0.02
696,10:04:46,35.99,0.0
697,10:04:49,35.99,0.0
698,10:04:53,35.98,-0.01
699,10:04:55,36.0,0.02
700,10:04:58,36.01,0.01
701,10:05:01,36.02,0.01
702,10:05:07,35.98,-0.04
703,10:05:08,35.98,0.0
704,10:05:11,36.01,0.03
705,10:05:13,36.02,0.01
706,10:05:16,36.02,0.0
707,10:05:19,36.04,0.02
708,10:05:23,36.06,0.02
709,10:05:26,36.07,0.01
710,10:05:29,36.1,0.03
711,10:05:31,36.08,-0.02
712,10:05:35,36.11,0.03
713,10:05:37,36.11,0.0
714,10:05:40,36.12,0.01
715,10:05:43,36.12,0.0
716,10:05:46,36.12,0.0
717,10:05:49,36.15,0.03
718,10:05:52,36.15,0.0
719,10:05:56,36.15,0.0
720,10:05:58,36.15,0.0
721,10:06:01,36.15,0.0
722,10:06:07,36.14,-0.01
723,10:06:09,36.13,-0.01
724,10:06:10,36.1,-0.03
725,10:06:14,36.09,-0.01
726,10:06:16,36.09,0.0
727,10:06:19,36.07,-0.02
728,10:06:22,36.04,-0.03
729,10:06:25,36.06,0.02
730,10:06:28,36.07,0.01
731,10:06:31,36.07,0.0
732,10:06:34,36.06,-0.01
733,10:06:37,36.08,0.02
734,10:06:40,36.08,0.0
735,10:06:43,36.08,0.0
736,10:06:46,36.1,0.02
737,10:06:49,36.08,-0.02
738,10:06:52,36.09,0.01
739,10:06:55,36.1,0.01
740,10:06:58,36.12,0.02
741,10:07:01,36.11,-0.01
742,10:07:07,36.11,0.0
743,10:07:08,36.11,0.0
744,10:07:11,36.11,0.0
745,10:07:13,36.1,-0.01
746,10:07:16,36.11,0.01
747,10:07:19,36.11,0.0
748,10:07:22,36.13,0.02
749,10:07:25,36.13,0.0
750,10:07:28,36.13,0.0
751,10:07:31,36.15,0.02
752,10:07:34,36.14,-0.01
753,10:07:37,36.14,0.0
754,10:07:41,36.15,0.01
755,10:07:43,36.17,0.02
756,10:07:46,36.17,0.0
757,10:07:49,36.19,0.02
758,10:07:52,36.19,0.0
759,10:07:55,36.18,-0.01
760,10:07:58,36.2,0.02
761,10:08:01,36.2,0.0
762,10:08:07,36.22,0.02
763,10:08:08,36.23,0.01
764,10:08:10,36.22,-0.01
765,10:08:13,36.23,0.01
766,10:08:16,36.25,0.02
767,10:08:19,36.2,-0.05
768,10:08:22,36.2,0.0
769,10:08:26,36.22,0.02
770,10:08:28,36.22,0.0
771,10:08:32,36.2,-0.02
772,10:08:34,36.18,-0.02
773,10:08:37,36.21,0.03
774,10:08:40,36.2,-0.01
775,10:08:43,36.22,0.02
776,10:08:46,36.21,-0.01
777,10:08:50,36.21,0.0
778,10:08:52,36.2,-0.01
779,10:08:55,36.25,0.05
780,10:08:58,36.25,0.0
781,10:09:01,36.3,0.05
782,10:09:07,36.29,-0.01
783,10:09:09,36.3,0.01
784,10:09:10,36.31,0.01
785,10:09:14,36.35,0.04
786,10:09:16,36.34,-0.01
787,10:09:18,36.33,-0.01
788,10:09:22,36.31,-0.02
789,10:09:25,36.34,0.03
790,10:09:28,36.34,0.0
791,10:09:31,36.31,-0.03
792,10:09:34,36.33,0.02
793,10:09:37,36.3,-0.03
794,10:09:40,36.27,-0.03
795,10:09:43,36.23,-0.04
796,10:09:46,36.25,0.02
797,10:09:50,36.24,-0.01
798,10:09:52,36.19,-0.05
799,10:09:54,36.19,0.0
800,10:09:58,36.16,-0.03
801,10:10:02,36.15,-0.01
802,10:10:08,36.16,0.01
803,10:10:09,36.16,0.0
804,10:10:10,36.14,-0.02
805,10:10:13,36.14,0.0
806,10:10:16,36.13,-0.01
807,10:10:19,36.15,0.02
808,10:10:22,36.15,0.0
809,10:10:25,36.16,0.01
810,10:10:28,36.13,-0.03
811,10:10:31,36.13,0.0
812,10:10:34,36.15,0.02
813,10:10:37,36.16,0.01
814,10:10:40,36.16,0.0
815,10:10:43,36.17,0.01
816,10:10:46,36.16,-0.01
817,10:10:49,36.16,0.0
818,10:10:52,36.21,0.05
819,10:10:55,36.18,-0.03
820,10:10:58,36.21,0.03
821,10:11:00,36.21,0.0
822,10:11:07,36.21,0.0
823,10:11:09,36.21,0.0
824,10:11:10,36.25,0.04
825,10:11:13,36.26,0.01
826,10:11:16,36.26,0.0
827,10:11:19,36.28,0.02
828,10:11:23,36.21,-0.07
829,10:11:25,36.25,0.04
830,10:11:28,36.22,-0.03
831,10:11:31,36.22,0.0
832,10:11:34,36.25,0.03
833,10:11:37,36.24,-0.01
834,10:11:40,36.26,0.02
835,10:11:43,36.25,-0.01
836,10:11:46,36.25,0.0
837,10:11:49,36.25,0.0
838,10:11:52,36.25,0.0
839,10:11:55,36.26,0.01
840,10:11:58,36.26,0.0
841,10:12:01,36.27,0.01
842,10:12:07,36.28,0.01
843,10:12:08,36.29,0.01
844,10:12:11,36.28,-0.01
845,10:12:13,36.3,0.02
846,10:12:16,36.3,0.0
847,10:12:19,36.3,0.0
848,10:12:22,36.35,0.05
849,10:12:25,36.36,0.01
850,10:12:28,36.29,-0.07
851,10:12:31,36.36,0.07
