,time,price,change
0,09:25:04,62.72,-0.57
1,09:30:02,62.73,0.01
2,09:30:05,62.72,-0.01
3,09:30:09,62.72,0.0
4,09:30:12,62.8,0.08
5,09:30:14,63.21,0.41
6,09:30:17,63.05,-0.16
7,09:30:21,63.19,0.14
8,09:30:24,63.2,0.01
9,09:30:26,63.21,0.01
10,09:30:30,63.2,-0.01
11,09:30:33,63.2,0.0
12,09:30:35,63.2,0.0
13,09:30:37,63.2,0.0
14,09:30:41,63.22,0.02
15,09:30:44,63.2,-0.02
16,09:30:48,63.25,0.05
17,09:30:51,63.22,-0.03
18,09:30:51,63.28,0.06
19,09:31:00,63.22,-0.06
20,09:31:03,63.2,-0.02
21,09:31:04,63.22,0.02
22,09:31:07,63.21,-0.01
23,09:31:12,63.3,0.09
24,09:31:15,63.21,-0.09
25,09:31:18,63.37,0.16
26,09:31:24,63.3,-0.07
27,09:31:26,63.3,0.0
28,09:31:29,63.49,0.19
29,09:31:32,63.48,-0.01
30,09:31:35,63.49,0.01
31,09:31:39,63.41,-0.08
32,09:31:41,63.31,-0.1
33,09:31:45,63.31,0.0
34,09:31:47,63.3,-0.01
35,09:31:51,63.3,0.0
36,09:31:51,63.3,0.0
37,09:31:56,63.27,-0.03
38,09:32:00,63.22,-0.05
39,09:32:02,63.22,0.0
40,09:32:06,63.2,-0.02
41,09:32:08,63.15,-0.05
42,09:32:12,63.13,-0.02
43,09:32:14,63.09,-0.04
44,09:32:17,63.08,-0.01
45,09:32:21,63.14,0.06
46,09:32:24,63.14,0.0
47,09:32:27,63.2,0.06
48,09:32:30,63.31,0.11
49,09:32:33,63.27,-0.04
50,09:32:36,63.2,-0.07
51,09:32:42,63.45,0.25
52,09:32:44,63.28,-0.17
53,09:32:48,63.29,0.01
54,09:32:50,63.14,-0.15
55,09:32:59,63.18,0.04
56,09:33:03,63.27,0.09
57,09:33:06,63.21,-0.06
58,09:33:09,63.16,-0.05
59,09:33:12,63.38,0.22
60,09:33:18,63.39,0.01
61,09:33:23,63.27,-0.12
62,09:33:27,63.27,0.0
63,09:33:27,63.38,0.11
64,09:33:32,63.27,-0.11
65,09:33:35,63.17,-0.1
66,09:33:48,63.25,0.08
67,09:33:51,63.27,0.02
68,09:33:57,63.35,0.08
69,09:33:59,63.37,0.02
70,09:34:00,63.4,0.03
71,09:34:06,63.4,0.0
72,09:34:09,63.46,0.06
73,09:34:12,63.5,0.04
74,09:34:15,63.68,0.18
75,09:34:18,63.68,0.0
76,09:34:24,63.73,0.05
77,09:34:26,63.75,0.02
78,09:34:30,63.74,-0.01
79,09:34:36,63.67,-0.07
80,09:34:39,63.51,-0.16
81,09:34:42,63.67,0.16
82,09:34:48,63.67,0.0
83,09:34:51,63.75,0.08
84,09:34:51,63.67,-0.08
85,09:34:59,63.69,0.02
86,09:35:03,63.69,0.0
87,09:35:06,63.75,0.06
88,09:35:09,63.69,-0.06
89,09:35:12,63.69,0.0
90,09:35:14,63.74,0.05
91,09:35:17,63.68,-0.06
92,09:35:21,63.68,0.0
93,09:35:27,63.53,-0.15
94,09:35:33,63.55,0.02
95,09:35:36,63.56,0.01
96,09:35:39,63.56,0.0
97,09:35:42,63.56,0.0
98,09:35:44,63.53,-0.03
99,09:35:48,63.55,0.02
100,09:35:51,63.55,0.0
101,09:35:53,63.54,-0.01
102,09:36:02,63.49,-0.05
103,09:36:05,63.49,0.0
104,09:36:08,63.47,-0.02
105,09:36:12,63.6,0.13
106,09:36:15,63.37,-0.23
107,09:36:18,63.28,-0.09
108,09:36:20,63.29,0.01
109,09:36:24,63.58,0.29
110,09:36:27,63.47,-0.11
111,09:36:30,63.29,-0.18
112,09:36:45,63.47,0.18
113,09:36:51,63.48,0.01
114,09:36:54,63.47,-0.01
115,09:36:59,63.31,-0.16
116,09:37:03,63.45,0.14
117,09:37:05,63.33,-0.12
118,09:37:09,63.33,0.0
119,09:37:12,63.34,0.01
120,09:37:18,63.48,0.14
121,09:37:27,63.49,0.01
122,09:37:29,63.49,0.0
123,09:37:32,63.5,0.01
124,09:37:39,63.5,0.0
125,09:37:42,63.49,-0.01
126,09:37:45,63.49,0.0
127,09:37:48,63.56,0.07
128,09:37:50,63.57,0.01
129,09:37:51,63.57,0.0
130,09:37:56,63.58,0.01
131,09:38:06,63.56,-0.02
132,09:38:08,63.55,-0.01
133,09:38:17,63.56,0.01
134,09:38:20,63.56,0.0
135,09:38:21,63.55,-0.01
136,09:38:27,63.55,0.0
137,09:38:29,63.62,0.07
138,09:38:32,63.62,0.0
139,09:38:39,63.62,0.0
140,09:38:41,63.55,-0.07
141,09:38:48,63.62,0.07
142,09:38:50,63.55,-0.07
143,09:38:56,63.6,0.05
144,09:39:00,63.6,0.0
145,09:39:03,63.55,-0.05
146,09:39:08,63.55,0.0
147,09:39:12,63.55,0.0
148,09:39:14,63.55,0.0
149,09:39:18,63.55,0.0
150,09:39:20,63.55,0.0
151,09:39:21,63.49,-0.06
152,09:39:27,63.53,0.04
153,09:39:36,63.48,-0.05
154,09:39:42,63.39,-0.09
155,09:39:47,63.39,0.0
156,09:39:51,63.34,-0.05
157,09:39:54,63.33,-0.01
158,09:39:57,63.34,0.01
159,09:39:59,63.35,0.01
160,09:40:02,63.33,-0.02
161,09:40:06,63.35,0.02
162,09:40:08,63.33,-0.02
163,09:40:12,63.52,0.19
164,09:40:15,63.35,-0.17
165,09:40:17,63.55,0.2
166,09:40:21,63.55,0.0
167,09:40:33,63.5,-0.05
168,09:40:35,63.5,0.0
169,09:40:41,63.47,-0.03
170,09:40:45,63.47,0.0
171,09:40:48,63.5,0.03
172,09:40:54,63.44,-0.06
173,09:41:00,63.5,0.06
174,09:41:03,63.47,-0.03
175,09:41:06,63.5,0.03
176,09:41:09,63.46,-0.04
177,09:41:12,63.46,0.0
178,09:41:17,63.51,0.05
179,09:41:21,63.55,0.04
180,09:41:27,63.55,0.0
181,09:41:30,63.55,0.0
182,09:41:33,63.62,0.07
183,09:41:39,63.59,-0.03
184,09:41:45,63.61,0.02
185,09:41:48,63.59,-0.02
186,09:41:51,63.61,0.02
187,09:41:54,63.59,-0.02
188,09:41:57,63.61,0.02
189,09:41:59,63.61,0.0
190,09:42:06,63.61,0.0
191,09:42:09,63.63,0.02
192,09:42:12,63.7,0.07
193,09:42:14,63.69,-0.01
194,09:42:18,63.79,0.1
195,09:42:21,63.8,0.01
196,09:42:26,63.85,0.05
197,09:42:30,63.86,0.01
198,09:42:36,63.86,0.0
199,09:42:39,63.88,0.02
200,09:42:42,63.87,-0.01
201,09:42:45,63.88,0.01
202,09:42:48,63.89,0.01
203,09:42:50,63.87,-0.02
204,09:42:54,63.86,-0.01
205,09:42:57,63.88,0.02
206,09:43:03,63.86,-0.02
207,09:43:05,63.8,-0.06
208,09:43:09,63.79,-0.01
209,09:43:17,63.67,-0.12
210,09:43:21,63.67,0.0
211,09:43:21,63.67,0.0
212,09:43:27,63.78,0.11
213,09:43:30,63.7,-0.08
214,09:43:36,63.79,0.09
215,09:43:39,63.79,0.0
216,09:43:42,63.88,0.09
217,09:43:45,63.86,-0.02
218,09:43:48,63.89,0.03
219,09:43:51,63.89,0.0
220,09:43:57,63.88,-0.01
221,09:43:59,63.89,0.01
222,09:44:06,63.89,0.0
223,09:44:09,63.87,-0.02
224,09:44:11,63.86,-0.01
225,09:44:15,63.87,0.01
226,09:44:18,63.8,-0.07
227,09:44:24,63.87,0.07
228,09:44:26,63.8,-0.07
229,09:44:30,63.8,0.0
230,09:44:33,63.75,-0.05
231,09:44:36,63.75,0.0
232,09:44:38,63.76,0.01
233,09:44:42,63.76,0.0
234,09:44:44,63.83,0.07
235,09:44:50,63.77,-0.06
236,09:44:57,63.76,-0.01
237,09:45:00,63.76,0.0
238,09:45:03,63.76,0.0
239,09:45:06,63.83,0.07
240,09:45:09,63.85,0.02
241,09:45:11,63.85,0.0
242,09:45:15,63.85,0.0
243,09:45:17,63.85,0.0
244,09:45:21,63.87,0.02
245,09:45:24,63.89,0.02
246,09:45:27,63.89,0.0
247,09:45:29,63.9,0.01
248,09:45:33,63.92,0.02
249,09:45:35,63.91,-0.01
250,09:45:38,63.92,0.01
251,09:45:42,63.92,0.0
252,09:45:44,63.92,0.0
253,09:45:48,63.95,0.03
254,09:45:50,63.91,-0.04
255,09:45:54,63.92,0.01
256,09:45:56,63.88,-0.04
257,09:46:00,63.86,-0.02
258,09:46:05,63.78,-0.08
259,09:46:12,63.78,0.0
260,09:46:21,63.79,0.01
261,09:46:24,63.8,0.01
262,09:46:27,63.88,0.08
263,09:46:30,63.8,-0.08
264,09:46:33,63.81,0.01
265,09:46:36,63.8,-0.01
266,09:46:39,63.81,0.01
267,09:46:45,63.95,0.14
268,09:46:47,63.95,0.0
269,09:46:51,63.96,0.01
270,09:46:54,63.82,-0.14
271,09:46:56,63.82,0.0
272,09:47:06,63.95,0.13
273,09:47:09,63.87,-0.08
274,09:47:12,63.83,-0.04
275,09:47:15,63.86,0.03
276,09:47:24,63.87,0.01
277,09:47:29,63.9,0.03
278,09:47:32,63.9,0.0
279,09:47:41,63.95,0.05
280,09:47:45,63.88,-0.07
281,09:47:51,63.99,0.11
282,09:47:57,63.99,0.0
283,09:48:00,63.91,-0.08
284,09:48:03,63.9,-0.01
285,09:48:06,63.99,0.09
286,09:48:08,64.0,0.01
287,09:48:11,63.99,-0.01
288,09:48:15,63.99,0.0
289,09:48:18,63.99,0.0
290,09:48:21,64.05,0.06
291,09:48:26,64.0,-0.05
292,09:48:30,64.05,0.05
293,09:48:39,64.08,0.03
294,09:48:42,64.1,0.02
295,09:48:47,64.1,0.0
296,09:48:50,64.12,0.02
297,09:48:54,64.12,0.0
298,09:48:57,64.09,-0.03
299,09:48:59,64.12,0.03
300,09:49:03,64.12,0.0
301,09:49:09,64.12,0.0
302,09:49:12,64.1,-0.02
303,09:49:15,64.08,-0.02
304,09:49:21,64.08,0.0
305,09:49:24,64.08,0.0
306,09:49:27,64.1,0.02
307,09:49:30,64.12,0.02
308,09:49:36,64.15,0.03
309,09:49:39,64.15,0.0
310,09:49:41,64.15,0.0
311,09:49:48,64.13,-0.02
312,09:49:51,64.13,0.0
313,09:49:54,64.15,0.02
314,09:49:56,64.13,-0.02
315,09:49:59,64.18,0.05
316,09:50:06,64.15,-0.03
317,09:50:09,64.18,0.03
318,09:50:11,64.15,-0.03
319,09:50:14,64.12,-0.03
320,09:50:20,64.13,0.01
321,09:50:24,64.13,0.0
322,09:50:26,64.16,0.03
323,09:50:30,64.18,0.02
324,09:50:32,64.15,-0.03
325,09:50:36,64.18,0.03
326,09:50:38,64.15,-0.03
327,09:50:42,64.18,0.03
328,09:50:45,64.18,0.0
329,09:50:47,64.19,0.01
330,09:50:51,64.18,-0.01
331,09:50:54,64.18,0.0
332,09:50:56,64.18,0.0
333,09:51:00,64.18,0.0
334,09:51:03,64.15,-0.03
335,09:51:06,64.15,0.0
336,09:51:09,64.12,-0.03
337,09:51:12,64.12,0.0
338,09:51:18,64.1,-0.02
339,09:51:21,64.12,0.02
340,09:51:26,64.1,-0.02
341,09:51:30,64.1,0.0
342,09:51:33,64.11,0.01
343,09:51:36,64.12,0.01
344,09:51:39,64.12,0.0
345,09:51:42,64.12,0.0
346,09:51:47,64.12,0.0
347,09:51:54,64.15,0.03
348,09:51:57,64.14,-0.01
349,09:52:00,64.11,-0.03
350,09:52:06,64.13,0.02
351,09:52:09,64.13,0.0
352,09:52:15,64.1,-0.03
353,09:52:24,64.1,0.0
354,09:52:27,64.1,0.0
355,09:52:29,64.1,0.0
356,09:52:36,64.1,0.0
357,09:52:39,64.1,0.0
358,09:52:41,64.1,0.0
359,09:52:44,64.1,0.0
360,09:52:48,64.1,0.0
361,09:52:51,64.1,0.0
362,09:52:56,64.1,0.0
363,09:53:09,64.1,0.0
364,09:53:12,64.1,0.0
365,09:53:18,64.11,0.01
366,09:53:26,64.14,0.03
367,09:53:29,64.15,0.01
368,09:53:33,64.13,-0.02
369,09:53:38,64.14,0.01
370,09:53:41,64.13,-0.01
371,09:53:45,64.15,0.02
372,09:53:51,64.13,-0.02
373,09:53:56,64.21,0.08
374,09:54:03,64.21,0.0
375,09:54:15,64.22,0.01
376,09:54:18,64.15,-0.07
377,09:54:27,64.21,0.06
378,09:54:30,64.19,-0.02
379,09:54:33,64.21,0.02
380,09:54:38,64.19,-0.02
381,09:54:54,64.21,0.02
382,09:55:03,64.19,-0.02
383,09:55:09,64.15,-0.04
384,09:55:15,64.11,-0.04
385,09:55:21,64.1,-0.01
386,09:55:24,64.19,0.09
387,09:55:27,64.1,-0.09
388,09:55:30,64.1,0.0
389,09:55:33,64.1,0.0
390,09:55:35,64.1,0.0
391,09:55:39,64.1,0.0
392,09:55:42,64.1,0.0
393,09:55:48,64.1,0.0
394,09:55:51,64.1,0.0
395,09:55:57,64.1,0.0
396,09:55:59,64.1,0.0
397,09:56:03,64.1,0.0
